x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
0,0,0,0.5,0.5,.008,5.2,-26.5,1,9.62201,15.9995,7.46543,0,"0000+0000 Sun"
-123.26,303.70,-138.64,-0.02,0.00,2.87,-1.1,6.6,3,3.44,10.61,1.16,11.22,"0000+3851"
-12.27,40.58,-37.15,0.74,0.79,0.00443,5.9,9.6,7,81.35,18.20,-26.70,87.54,"0000+2002"
-50.48,149.03,-112.50,1.10,3.92,0.0897,2.6,9.1,8,4.44,-18.82,18.18,26.54,"0000+2553"
-91.23,205.81,-60.45,0.08,0.09,0.63,0.5,7.3,11,9.66,-13.22,9.67,19.02,"0000+4656"
-83.40,206.41,-96.70,0.95,0.94,1.44,-0.4,6.5,19,12.69,26.26,-14.36,32.51,"0000+3818"
21.67,-12.25,-68.39,0.76,0.80,0.163,2.0,6.3,25,7.33,-27.40,11.25,30.51,"0000-4417"
-21.19,61.22,-44.65,0.51,0.59,0.166,2.0,6.4,34,3.84,-0.20,-12.01,12.61,"0000+2655"
7.72,23.48,-87.66,0.47,0.55,0.0861,2.7,7.5,39,-48.06,-27.09,-19.79,58.61,"0000-1641"
-58.45,117.15,-6.12,1.03,1.00,0.579,0.6,6.2,43,72.26,9.66,4.09,73.02,"0000+5934"
-17.45,34.18,-0.08,0.52,0.59,0.0223,4.1,7.0,58,11.24,35.18,1.13,36.95,"0000+6210"
-432.21,894.77,-112.22,0.09,0.10,2.31,-0.9,9.1,59,23.37,-7.27,5.89,25.17,"0000+5543"
-79.88,182.41,-59.75,-0.05,-0.03,1.24,-0.2,6.4,63,-5.35,7.32,4.55,10.14,"0000+4515 CG And"
-6.19,21.68,-21.93,0.94,0.99,0.00301,6.3,8.8,68,48.77,-20.13,-7.18,53.25,"0000+1659"
-117.83,221.77,19.60,1.45,1.44,1.1,-0.1,6.9,73,34.48,13.00,33.17,49.58,"0000+6650"
54.35,14.69,-277.64,0.02,0.04,0.347,1.1,8.4,77,-14.90,7.86,3.28,17.16,"0000-3003"
2.68,21.09,-60.52,0.57,0.64,0.018,4.4,8.4,80,-91.96,-66.02,-18.03,114.63,"0000-1149"
-0.72,18.19,-38.60,0.64,0.71,0.0068,5.4,8.6,81,60.39,5.20,0.87,60.62,"0000-0455"
38.18,34.55,-251.19,0.36,0.42,0.0371,3.6,10.6,85,-44.65,-11.64,4.81,46.40,"0001-2442"
54.48,-39.88,-153.29,0.91,0.91,1.46,-0.4,5.7,88,26.98,15.83,4.74,31.64,"0001-4849 tau Phe"
-3.51,29.32,-51.93,0.62,0.69,0.0202,4.2,8.1,93,6.00,-6.98,-5.27,10.61,"0001-0004"
-8.81,33.16,-36.96,1.36,1.59,0.00166,6.9,10.5,96,-9.62,31.78,31.79,45.96,"0001+1358"
-354.35,702.67,-26.30,2.83,2.91,9.47,-2.4,7.0,99,-1.98,-29.95,-22.73,37.65,"0001+6021"
-90.90,197.37,-46.55,0.97,0.95,1.61,-0.5,6.2,106,8.73,-9.92,-2.55,13.46,"0001+4959"
57.22,-44.75,-155.06,1.61,1.88,1.8,-0.6,5.5,107,1.97,20.17,0.84,20.29,"0001-5020"
-17.38,41.86,-18.54,0.79,0.82,0.00863,5.2,8.6,110,18.96,16.96,-0.20,25.44,"0001+3936"
2.66,8.05,-30.75,1.38,1.72,0.000505,8.2,10.8,112,-11.12,-36.48,-16.54,41.57,"0001-1656"
-30.14,80.97,-51.75,0.65,0.72,0.067,2.9,8.0,114,24.63,1.83,-1.56,24.75,"0001+3044"
-77.56,215.13,-149.51,1.20,1.16,1.38,-0.4,6.8,121,52.67,-1.09,-18.15,55.72,"0001+2825"
31.00,-41.85,-43.26,1.25,1.26,0.561,0.6,4.8,122,46.14,-27.48,39.52,66.68,"0001-7704 the Oct"
-94.55,169.85,33.36,1.17,1.13,0.508,0.7,7.2,123,52.97,22.95,16.90,60.15,"0001+7214"
-453.46,891.08,-18.69,0.41,0.47,58.6,-4.4,5.6,124,34.28,-0.33,4.18,34.53,"0001+6113"
-31.67,56.26,12.65,0.18,0.20,0.109,2.4,6.5,128,-7.17,-0.77,-2.52,7.64,"0001+7336"
-56.23,109.74,-0.63,0.20,0.22,0.0851,2.7,8.1,131,19.29,22.03,-6.18,29.93,"0001+6201"
75.52,-30.33,-273.03,0.55,0.62,1.83,-0.7,6.6,133,-24.90,-22.15,11.12,35.13,"0001-4008"
-151.62,353.45,-136.68,-0.04,-0.02,5.27,-1.8,6.2,137,5.55,2.19,5.59,8.17,"0001+4222"
-29.17,54.93,4.26,0.73,0.78,0.0455,3.4,7.3,142,16.47,-1.42,9.58,19.11,"0001+6618"
-135.74,236.01,65.85,1.36,1.33,0.27,1.4,8.7,144,-8.95,1.82,-6.09,10.97,"0001+7610"
-4.53,56.44,-111.79,-0.13,-0.12,1.39,-0.4,5.1,145,1.78,16.64,-18.26,24.77,"0001-0302 29 Psc"
35.28,26.56,-223.47,0.31,0.35,0.135,2.2,9.0,146,316.92,-248.56,-20.28,403.27,"0001-2547"
-11.69,33.52,-25.36,0.93,0.98,0.000596,8.1,11.3,149,146.40,-88.11,-30.09,173.50,"0001+2600"
36.35,-17.13,-126.03,0.41,0.48,0.135,2.2,7.8,151,-33.29,-20.20,-12.66,40.94,"0001-4136"
-1.44,52.08,-116.07,1.63,2.35,2.89,-1.2,4.4,154,-2.91,-22.05,3.66,22.54,"0001-0601 YY Psc"
-149.02,287.22,5.74,0.10,0.07,0.38,1.0,8.6,156,3.54,5.08,-7.53,9.75,"0001+6321"
66.08,13.79,-335.75,0.11,0.12,0.3,1.3,9.0,163,-15.07,7.88,-4.82,17.68,"0002-3041"
-101.27,243.36,-110.24,0.06,0.07,0.302,1.3,8.6,167,2.49,14.94,-1.57,15.23,"0002+3910"
-20.07,232.10,-456.85,1.11,1.08,0.394,1.0,9.6,168,210.79,-179.18,46.24,280.49,"0002-0249"
-3.43,9.63,-7.03,0.69,0.82,0.00736,5.3,5.8,171,1.68,-59.55,-23.76,64.13,"0002+2705 85 Peg"
-370.84,691.22,68.48,0.98,0.96,1.49,-0.4,9.1,172,21.51,7.85,1.27,22.93,"0002+6724"
-305.21,673.16,-190.82,0.25,0.28,2.43,-1.0,8.4,173,49.15,14.71,-7.12,51.80,"0002+4734"
-180.51,354.99,-11.10,1.83,2.46,3.11,-1.2,6.8,181,40.33,1.81,-9.50,41.47,"0002+6042"
28.83,8.57,-153.33,-0.15,-0.14,2.35,-0.9,5.0,183,0.07,22.64,-2.92,22.83,"0002-2943 zet Scl"
-13.06,52.87,-65.50,0.53,0.60,0.0281,3.9,8.5,185,49.20,-10.71,-12.67,51.92,"0002+1047"
-18.35,79.44,-104.38,0.18,0.20,0.515,0.7,6.3,186,10.04,20.15,-1.39,22.55,"0002+0857 31 Psc"
-14.66,59.26,-73.46,0.57,0.64,0.0291,3.8,8.7,190,55.99,-12.80,-17.04,59.91,"0002+1046"
-5.09,22.39,-29.89,0.32,0.36,0.0746,2.8,5.7,194,27.34,23.50,-1.80,36.10,"0002+0829 32 Psc"
-48.51,166.76,-173.80,0.07,0.09,0.767,0.3,7.2,199,20.32,18.24,22.53,35.40,"0002+1615"
-298.47,561.18,41.05,1.07,1.04,18.2,-3.2,5.9,207,8.63,-4.98,7.83,12.67,"0002+6606"
-468.66,881.03,64.46,0.09,0.06,13.2,-2.8,7.2,209,-27.42,-14.07,42.84,52.77,"0002+6606"
-53.62,132.92,-69.96,0.18,0.20,0.25,1.5,7.5,220,1.68,8.93,4.79,10.27,"0002+3548"
144.63,128.01,-981.17,0.25,0.29,0.759,0.3,10.3,226,-175.52,-175.83,-73.31,259.03,"0002-2456"
